district,property_type,bedrooms,bathrooms,floors,land_perches,floor_area_sqft,age_years,has_garage,has_pool,furnished,price_lkr
Colombo,Apartment,4,3,1,50.2,1469.0,39,1,0,0,135563106
Kurunegala,House,3,3,2,7.4,1427.0,10,0,1,1,28540698
Jaffna,Land & House,6,5,2,28.8,2393.0,20,1,0,1,74695670
Matara,Apartment,3,2,1,10.9,1167.0,18,0,0,0,18150020
Matara,Apartment,2,2,1,67.7,721.0,10,0,0,0,21893448
Colombo,House,3,3,1,10.9,1193.0,4,1,0,1,125116088
Kandy,Apartment,2,2,2,10.5,943.0,11,1,0,0,29197513
Colombo,House,6,6,1,19.2,2274.0,17,1,0,0,209676996
Anuradhapura,House,3,2,2,52.9,1235.0,9,0,0,0,24775735
Negombo,House,3,2,2,60.1,1367.0,1,0,0,0,108075591
Kandy,Villa,4,4,1,22.4,1506.0,0,1,0,1,104331905
Colombo,House,3,3,2,25.1,1225.0,6,0,0,0,164824217
Kandy,House,1,1,1,16.4,400.0,2,0,0,1,20691820
Kandy,Apartment,4,4,2,25.1,1582.0,31,0,0,0,38693087
Matara,Villa,4,3,1,33.5,1529.0,3,1,0,0,61406116
Negombo,House,3,3,1,14.0,1212.0,8,0,0,0,48775952
Anuradhapura,Apartment,4,3,2,18.5,1726.0,19,0,0,0,20896253
Galle,House,2,2,1,15.6,880.0,24,0,0,0,33307862
Colombo,House,2,2,2,16.4,924.0,10,1,0,0,107990123
Jaffna,House,2,1,2,37.1,1105.0,3,1,0,0,34779089
Matara,Villa,3,2,2,10.6,1305.0,5,0,0,1,48404138
Negombo,House,4,3,1,7.5,1595.0,8,0,1,1,86543097
Matara,House,4,3,2,13.1,1683.0,7,1,0,0,33810053
Galle,House,3,2,2,7.5,1387.0,7,0,0,0,58884927
Galle,Villa,3,3,1,14.3,1178.0,2,1,0,0,88453823
Kandy,House,4,3,2,39.1,1739.0,32,1,0,0,63672612
Colombo,House,2,1,3,18.4,1149.0,0,1,0,1,144156915
Colombo,House,2,2,1,33.0,931.0,9,1,0,0,153481908
Colombo,House,6,5,3,6.7,2468.0,39,0,1,0,155403367
Negombo,Apartment,4,4,1,38.7,1373.0,16,1,0,0,74385772
Kandy,Apartment,6,6,1,17.8,2152.0,7,1,0,1,70545270
Galle,House,3,2,1,4.5,1306.0,2,0,0,0,48121005
Anuradhapura,House,4,3,2,19.0,1684.0,37,1,0,0,21963323
Colombo,House,2,1,1,49.4,859.0,0,0,0,0,187772708
Kandy,House,3,3,3,5.2,1394.0,17,0,0,0,42839324
Matara,House,3,2,2,17.1,1356.0,29,1,1,0,31421796
Colombo,Villa,3,2,2,41.1,1247.0,0,1,1,1,368885333
Colombo,Land & House,2,2,1,4.1,762.0,19,0,0,0,77657912
Kandy,Land & House,3,2,3,19.0,1459.0,40,0,0,1,56539650
Colombo,Land & House,1,1,2,13.7,694.0,15,0,1,0,135128882
Ratnapura,Apartment,4,3,1,10.4,1605.0,8,0,0,1,21259171
Kurunegala,Villa,3,3,2,18.8,1407.0,28,0,0,0,34484920
Negombo,House,2,2,2,4.8,841.0,12,1,0,0,37367557
Anuradhapura,Apartment,2,1,2,25.0,999.0,20,0,0,1,15870549
Kurunegala,Apartment,2,1,1,4.1,830.0,13,1,0,0,12510978
Colombo,Apartment,4,3,1,9.5,1396.0,0,1,0,1,124347295
Anuradhapura,Villa,2,2,1,14.5,851.0,4,1,0,1,30445143
Galle,House,4,3,1,11.1,1524.0,1,0,0,0,62913449
Kurunegala,House,1,1,2,9.5,701.0,2,0,0,0,12745226
Anuradhapura,Land & House,2,2,3,30.7,1158.0,0,1,0,1,33208055
Kandy,House,5,4,3,45.0,2145.0,8,1,0,0,101634158
Colombo,Apartment,4,3,2,,1792.0,3,1,1,0,195013562
Colombo,Land & House,2,2,2,15.1,777.0,27,1,0,1,106994233
Kandy,Apartment,4,4,1,36.3,1543.0,21,0,0,0,50443463
Kurunegala,Apartment,3,2,2,42.0,1173.0,13,0,0,0,18207206
Anuradhapura,House,4,3,1,11.9,1458.0,10,0,0,1,24875947
Colombo,House,4,3,1,9.0,1602.0,4,0,0,0,145676143
Galle,Land & House,4,4,2,5.6,1572.0,10,0,0,0,76017422
Kandy,Apartment,6,6,1,13.8,2107.0,15,1,0,0,55116023
Colombo,Apartment,2,1,1,47.9,1088.0,22,0,1,0,138176487
Colombo,House,4,3,2,16.3,1564.0,1,0,0,0,170286709
Kandy,House,3,3,1,20.5,1365.0,19,0,0,1,47683476
Ratnapura,Land & House,1,1,1,5.8,482.0,20,0,0,0,8271590
Kandy,House,1,1,1,6.3,447.0,12,0,0,0,16177917
Galle,Apartment,2,2,1,13.4,906.0,4,1,0,0,37626899
Jaffna,House,4,4,1,49.3,1683.0,12,1,1,0,49834338
Kandy,Apartment,3,3,2,10.7,1235.0,11,0,0,0,39786515
Badulla,Land & House,3,2,1,35.5,1148.0,10,0,0,1,25041751
Ratnapura,Apartment,1,1,2,5.9,734.0,9,0,0,0,9493315
Colombo,House,3,2,1,18.4,1228.0,2,1,0,0,166534824
Galle,Apartment,5,4,1,17.8,2010.0,3,0,0,1,74663237
Kandy,Villa,3,2,2,33.5,1401.0,1,0,0,0,101983953
Kandy,House,4,3,2,4.0,1880.0,4,0,0,0,53262705
Colombo,Land & House,4,3,2,7.2,1717.0,5,0,0,0,204600289
Negombo,Apartment,4,3,3,7.7,1872.0,4,1,0,0,71639951
Galle,Land & House,3,2,1,48.9,1232.0,4,0,0,1,91670625
Colombo,Apartment,5,4,1,6.5,1885.0,20,0,0,0,116091041
Colombo,House,3,3,3,4.6,1584.0,24,0,0,0,98304759
Anuradhapura,House,5,4,1,15.5,1923.0,6,1,0,1,34061049
Colombo,House,2,1,1,15.3,928.0,6,0,0,0,95842849
Colombo,Land & House,3,2,1,31.9,1294.0,26,0,0,0,187074561
Galle,Villa,2,2,2,48.6,1042.0,14,0,0,0,107265282
Badulla,Apartment,4,3,1,15.6,1600.0,5,0,0,1,19875533
Colombo,House,3,2,1,43.9,1098.0,19,1,0,1,183747416
Jaffna,House,2,2,1,23.4,794.0,7,0,1,0,36070507
Matara,Villa,2,1,2,8.6,1084.0,13,0,0,0,33638301
Colombo,Apartment,5,5,1,43.6,2042.0,40,0,0,0,156779951
Matara,House,4,4,1,20.5,1355.0,5,1,0,0,31024172
Kandy,Apartment,3,2,2,12.0,1293.0,34,1,0,0,26891443
Negombo,House,4,3,3,21.1,1852.0,6,0,0,0,98762341
Negombo,House,3,2,2,11.7,1262.0,12,1,0,0,65056388
Galle,Apartment,3,2,2,5.8,1267.0,9,0,0,0,41826886
Colombo,House,5,5,1,23.0,1947.0,22,1,0,0,174075901
Kurunegala,Land & House,2,2,1,30.1,1008.0,1,0,0,0,31623662
Kandy,House,3,3,1,23.6,996.0,15,0,0,1,33707217
Colombo,House,3,3,2,7.9,1332.0,21,0,0,0,99333155
Colombo,House,3,2,1,51.1,1246.0,10,1,0,1,243009590
Negombo,Villa,3,2,2,4.4,1428.0,2,1,0,0,96950972
Jaffna,House,3,3,3,10.1,1531.0,4,1,0,0,40396274
Colombo,Apartment,2,2,1,8.5,1026.0,17,0,0,0,63110413
Galle,House,3,2,1,4.7,1202.0,30,0,0,1,37265953
Colombo,House,2,2,1,11.8,981.0,8,0,0,1,95598724
Negombo,House,2,1,1,18.6,785.0,12,0,0,1,51325389
Colombo,Villa,2,1,1,36.1,855.0,4,0,0,0,237524306
Jaffna,Land & House,4,4,2,72.6,1578.0,8,1,0,0,67225029
Kandy,House,3,3,1,28.8,1290.0,6,1,0,0,54195921
Ratnapura,Apartment,4,3,1,13.5,1537.0,16,0,0,0,19235858
Colombo,Land & House,4,4,1,,1585.0,39,1,0,1,174126703
Kandy,House,4,4,3,31.8,1818.0,24,0,0,0,64482650
Colombo,Villa,3,3,2,13.4,1408.0,3,1,0,0,210400322
Ratnapura,House,3,2,3,27.1,1539.0,13,1,0,1,30147703
Anuradhapura,Land & House,3,2,3,13.9,1400.0,1,0,0,0,32124770
Colombo,Villa,4,4,1,11.3,1456.0,4,0,0,0,194872791
Jaffna,Land & House,3,2,1,15.2,1197.0,3,0,1,1,49440603
Kurunegala,Apartment,4,3,1,20.9,1615.0,6,0,0,0,24802443
Negombo,House,5,4,1,23.5,2086.0,17,1,0,0,96336756
Galle,Land & House,2,2,2,10.6,1030.0,10,1,0,1,57681415
Colombo,House,2,1,1,16.7,950.0,34,0,1,0,94917500
Colombo,House,4,3,1,40.1,1388.0,4,0,0,0,206040510
Anuradhapura,Villa,3,3,2,60.1,1551.0,7,1,0,0,58085510
Anuradhapura,Villa,1,1,2,7.9,710.0,6,0,0,0,17078097
Negombo,Land & House,5,5,2,7.2,2045.0,4,0,1,1,145861845
Kandy,House,2,2,1,20.9,833.0,40,1,0,0,31499089
Kandy,Villa,5,5,2,12.0,1939.0,8,0,0,0,94096174
Matara,Villa,4,3,2,4.4,1617.0,35,0,0,1,39576518
Anuradhapura,House,4,3,1,10.4,1741.0,8,1,0,0,32510076
Anuradhapura,House,2,2,2,28.7,901.0,3,0,0,0,17207065
Matara,House,2,1,3,27.9,1049.0,2,0,0,0,25560259
Negombo,House,3,2,1,14.2,1129.0,27,0,0,1,50879707
Colombo,Land & House,2,1,1,13.6,730.0,0,0,0,1,131958835
Colombo,Apartment,3,2,1,17.0,1201.0,37,1,0,0,78894786
Anuradhapura,Villa,3,3,1,7.7,1308.0,8,1,0,0,34672574
Negombo,Land & House,2,1,2,15.2,938.0,4,0,0,0,50867628
Colombo,House,2,1,1,4.2,712.0,14,0,0,1,58887445
Colombo,Villa,4,3,2,13.7,1729.0,2,1,1,1,297474088
Jaffna,House,2,1,2,10.1,994.0,1,1,0,0,24197410
Colombo,Land & House,1,1,2,20.9,750.0,24,0,0,0,109275775
Colombo,House,4,4,1,19.3,1504.0,8,0,0,0,146018475
Galle,Land & House,6,5,1,11.2,2223.0,11,1,0,0,114623951
Jaffna,House,3,2,1,4.1,1185.0,3,0,1,0,32281585
Jaffna,House,2,1,1,8.4,858.0,1,1,1,0,30791743
Colombo,Villa,3,3,1,19.1,1160.0,7,1,0,0,220079415
Jaffna,House,5,4,2,5.1,1994.0,11,1,0,1,50812380
Colombo,Apartment,4,3,1,5.7,1364.0,21,0,0,0,72948544
Kandy,House,4,3,2,19.6,1643.0,11,0,0,0,66735575
Matara,Villa,3,3,1,25.1,1271.0,22,0,0,0,44073693
Negombo,House,3,3,2,9.8,1435.0,2,1,0,1,80683954
Kurunegala,House,2,1,3,14.1,1102.0,1,0,0,0,21472465
Jaffna,House,4,3,1,47.7,1679.0,3,1,1,1,58503036
Negombo,Apartment,4,3,2,47.7,1697.0,22,0,1,1,79624725
Colombo,House,6,5,2,9.5,2266.0,21,0,0,0,180581034
Kandy,House,3,2,2,28.9,1184.0,2,1,0,1,64779747
Colombo,House,1,1,2,17.5,771.0,0,1,0,0,97748123
Colombo,House,3,3,1,59.6,1162.0,17,0,0,1,236373548
Badulla,Apartment,4,4,1,13.7,1428.0,27,0,0,0,13656885
Kandy,Land & House,4,4,1,26.4,1324.0,21,1,0,0,69548176
Anuradhapura,House,2,1,2,25.9,960.0,3,0,0,1,19865012
Negombo,Apartment,3,2,3,14.3,1540.0,13,1,0,0,62519726
Kurunegala,Apartment,3,3,2,27.8,1280.0,21,1,0,0,20109804
Galle,House,3,2,1,8.5,1094.0,4,0,0,0,43941121
Negombo,Villa,5,4,2,6.0,1995.0,11,0,1,1,149100302
Galle,House,3,2,2,12.3,1474.0,6,1,0,0,67609334
Colombo,Apartment,4,4,1,47.1,1410.0,4,1,0,0,199273915
Matara,House,3,2,1,14.4,1135.0,38,0,1,0,22241506
Kandy,Apartment,4,4,1,19.1,1671.0,32,0,0,0,32708543
Colombo,Apartment,3,2,2,18.7,1399.0,9,0,0,0,89012370
Negombo,House,4,3,2,6.1,1717.0,2,0,0,0,74631518
Colombo,House,3,3,1,11.4,1135.0,19,0,0,0,85866394
Ratnapura,Land & House,3,2,1,22.4,1203.0,4,1,0,1,32409530
Ratnapura,House,2,1,2,57.6,946.0,3,0,0,0,22354189
Anuradhapura,Apartment,3,2,3,6.8,1414.0,7,1,1,0,26329409
Kandy,Land & House,3,2,2,11.9,1241.0,11,0,1,1,69731069
Colombo,Villa,3,3,2,5.5,1428.0,1,0,0,1,199779253
Ratnapura,Apartment,6,6,1,8.2,2243.0,13,0,0,1,31177669
Kandy,Villa,2,1,2,11.1,1031.0,0,0,0,0,48799091
Ratnapura,Land & House,4,4,1,15.7,1565.0,30,0,0,0,27869915
Ratnapura,Apartment,6,5,2,7.9,2444.0,33,0,1,0,25858638
Kurunegala,Apartment,1,1,1,7.9,474.0,20,0,1,0,10982238
Kandy,House,4,4,2,26.6,,9,0,0,0,54081911
Kandy,Land & House,3,2,1,53.3,1118.0,4,0,0,0,80120155
Kurunegala,Apartment,1,1,2,9.9,508.0,20,1,0,1,8838952
Kandy,House,3,2,1,21.5,1087.0,34,0,0,0,31641941
Colombo,Land & House,5,4,1,8.5,1863.0,3,1,0,1,219964678
Negombo,Apartment,1,1,2,43.5,489.0,9,0,0,1,44211328
Ratnapura,House,3,2,1,20.8,1061.0,6,0,0,1,21580868
Jaffna,Apartment,3,3,3,28.3,1604.0,7,1,0,0,35296479
Negombo,House,5,4,2,4.8,2072.0,8,1,0,0,89185479
Colombo,Land & House,2,1,2,17.7,954.0,36,1,0,0,116944077
Negombo,House,4,3,2,15.2,1927.0,4,1,0,1,103570348
Badulla,Villa,4,3,2,9.2,1535.0,10,0,0,0,31073887
Colombo,Apartment,4,3,2,8.6,1797.0,36,0,0,1,93316702
Galle,House,5,4,3,17.0,2188.0,10,0,0,0,77366452
Anuradhapura,Land & House,4,3,1,22.4,1628.0,27,1,0,0,29982290
Matara,Apartment,1,1,1,4.5,510.0,1,1,0,0,10152312
Jaffna,House,3,3,2,16.6,1162.0,36,0,0,1,23432675
Jaffna,Apartment,3,2,1,6.8,1209.0,3,0,0,0,23152477
Kandy,Land & House,3,3,1,6.3,1233.0,39,0,0,0,35450773
Kandy,House,3,3,1,18.6,980.0,3,1,0,0,51284340
Kurunegala,House,3,3,1,9.6,1394.0,9,1,0,1,26817867
Kurunegala,House,3,2,2,12.7,1381.0,6,1,0,0,25875176
Anuradhapura,House,6,6,2,10.7,2467.0,9,0,0,0,34683909
Anuradhapura,Villa,2,1,3,19.7,1033.0,4,0,0,1,26751262
Galle,Apartment,5,5,2,13.5,2119.0,37,0,0,0,43519168
Galle,House,3,2,1,53.6,1308.0,6,0,0,0,83239224
Kurunegala,House,4,3,1,10.5,1575.0,16,0,0,0,27841277
Negombo,House,4,3,1,24.2,1549.0,2,0,0,1,80370852
Jaffna,Land & House,3,3,2,8.5,1260.0,24,0,0,0,28562262
Kurunegala,House,3,2,1,14.7,1178.0,12,0,0,1,22195127
Anuradhapura,Land & House,3,2,1,16.1,1148.0,39,0,0,1,19454255
Kandy,Apartment,3,2,3,10.0,1557.0,8,1,0,0,44559395
Kandy,House,5,4,2,13.6,1965.0,3,1,0,0,68352966
Colombo,Land & House,4,3,1,8.9,1606.0,7,0,0,0,167933504
Negombo,Apartment,2,1,1,4.1,766.0,20,0,0,0,25459961
Colombo,Villa,2,1,2,7.6,973.0,16,0,0,1,116126352
Galle,Land & House,3,2,3,22.1,1561.0,22,0,0,0,75673207
Galle,House,2,1,1,26.1,779.0,1,1,0,1,55082965
Kandy,House,4,3,1,8.9,1615.0,13,0,0,1,49312995
Negombo,Villa,2,1,2,11.9,1055.0,34,0,0,0,62419959
Colombo,House,3,3,2,4.6,1322.0,2,1,0,0,99556649
Colombo,House,1,1,2,8.1,766.0,1,1,0,0,83063208
Kurunegala,House,3,2,2,26.7,1357.0,19,0,0,0,24225277
Kandy,House,4,3,3,18.0,1960.0,6,1,0,1,66404560
Colombo,Villa,3,3,1,7.5,,16,1,0,0,184034054
Galle,House,6,5,1,8.5,2225.0,12,1,0,0,78474655
Matara,Apartment,5,4,2,29.5,2114.0,39,0,0,1,27640223
Colombo,Apartment,3,3,2,7.5,1286.0,30,0,0,1,73871520
Negombo,House,1,1,2,10.1,546.0,17,0,1,1,34880333
Colombo,House,4,4,1,20.4,1530.0,5,0,0,0,152726105
Colombo,Villa,5,4,2,16.4,1913.0,5,0,1,1,350764704
Galle,House,4,3,1,13.3,1456.0,29,1,0,0,43403742
Galle,Villa,2,2,2,38.5,1059.0,13,1,0,0,109652730
Negombo,Land & House,6,6,1,7.7,2198.0,22,1,0,1,100301092
Matara,House,3,2,2,24.3,1421.0,9,1,0,0,31384910
Badulla,Apartment,4,4,2,6.6,1729.0,1,1,0,0,23177290
Galle,Apartment,5,4,1,18.3,2085.0,6,1,0,0,74940936
Kandy,House,2,1,1,34.7,902.0,3,1,0,1,53690219
Kurunegala,Land & House,5,4,2,13.2,2161.0,22,0,0,0,44586980
Colombo,Land & House,3,3,2,23.3,1390.0,18,1,1,1,210725916
Galle,House,6,5,1,29.8,2281.0,1,0,0,0,118464818
Colombo,Apartment,3,2,1,6.2,1316.0,14,0,1,1,101772513
Colombo,Land & House,6,6,1,22.4,2316.0,28,1,0,1,268886380
Ratnapura,Land & House,2,2,3,41.9,1171.0,18,0,0,1,27860417
Kurunegala,Apartment,4,4,1,16.9,1570.0,11,0,0,1,19450907
Jaffna,Apartment,3,2,1,7.1,1253.0,6,1,0,1,27844261
Kandy,House,3,3,2,6.0,1282.0,30,1,0,0,37615266
Colombo,Land & House,2,2,2,8.5,928.0,8,0,0,0,106748493
Colombo,House,4,3,1,5.6,1692.0,27,0,0,0,100943120
Colombo,Apartment,2,1,3,14.8,1336.0,22,0,0,1,86550787
Galle,House,3,2,2,5.1,1257.0,24,1,0,1,43017070
Jaffna,House,3,2,2,7.8,1283.0,40,0,0,0,20602288
Jaffna,House,6,6,1,12.7,2364.0,20,0,0,1,44713379
Colombo,Land & House,1,1,3,13.6,853.0,0,0,1,0,155612547
Ratnapura,House,2,2,1,16.5,917.0,3,0,0,0,19629149
Matara,Apartment,2,1,1,22.3,939.0,0,1,1,1,25143851
Negombo,House,3,2,1,4.7,1175.0,3,1,0,0,47972594
Negombo,House,2,2,2,5.3,1032.0,1,1,0,0,48528117
Kandy,House,3,2,2,4.9,1375.0,11,0,0,0,43181979
Colombo,Apartment,5,4,2,12.3,1964.0,0,1,0,0,152307053
Kandy,House,4,4,1,4.6,1581.0,10,0,1,0,65877109
Matara,House,3,2,2,24.6,1473.0,31,0,1,0,32304299
Colombo,House,2,1,2,7.8,966.0,20,1,0,0,68700294
Colombo,House,4,3,1,46.0,1565.0,35,0,0,0,155710659
Colombo,Land & House,2,1,2,14.0,1020.0,4,0,0,0,139875960
Colombo,Land & House,4,3,1,12.9,1521.0,11,0,0,1,171142169
Kurunegala,House,3,3,2,26.7,1417.0,6,0,0,1,32865855
Jaffna,Apartment,3,3,1,22.7,1131.0,10,0,0,0,21293581
Galle,Land & House,3,2,2,18.0,1483.0,12,1,0,1,91787305
Colombo,House,5,5,3,45.0,2262.0,0,0,0,0,270485147
Galle,Villa,2,1,3,12.2,1056.0,4,0,0,0,71408381
Galle,Land & House,3,3,1,28.8,1369.0,18,0,0,1,74930783
Colombo,House,2,2,1,11.2,866.0,22,0,0,1,82096591
Galle,House,4,4,1,31.3,1477.0,13,1,0,1,81791804
Kandy,Land & House,5,4,2,8.5,2160.0,5,1,0,0,100139277
Negombo,Apartment,3,2,2,9.1,1399.0,8,0,0,0,54684934
Negombo,House,3,3,1,21.0,1022.0,1,1,1,0,72441550
Colombo,House,5,4,1,7.6,1847.0,36,0,1,0,125893003
Kandy,House,3,3,3,7.9,1527.0,28,1,0,0,46596746
Negombo,Apartment,3,2,2,9.5,1134.0,1,0,0,0,39725821
Galle,Villa,3,3,1,21.0,1208.0,3,0,0,0,91933110
Kurunegala,Land & House,4,3,1,37.0,1565.0,13,0,0,1,44083123
Jaffna,House,2,1,1,20.8,731.0,4,0,1,0,29237149
Colombo,Apartment,4,3,2,30.4,1727.0,34,0,0,0,131264904
Colombo,Apartment,3,3,3,15.8,1500.0,21,1,0,0,96546440
Negombo,House,2,1,2,5.1,880.0,5,1,0,0,42889977
Colombo,House,4,3,1,5.6,1641.0,0,0,0,1,122510726
Negombo,Land & House,3,2,2,16.1,1433.0,23,0,0,0,70830278
Ratnapura,Land & House,2,2,1,10.0,821.0,8,1,1,1,28126070
Negombo,Apartment,4,4,1,7.7,1530.0,15,1,0,1,59330606
Kandy,Apartment,5,4,3,13.4,2272.0,5,1,0,0,67730898
Negombo,House,5,5,1,20.5,1879.0,2,0,0,1,97426370
Galle,Apartment,6,6,1,11.3,2056.0,17,1,0,0,64476889
Galle,Apartment,5,5,3,28.3,2248.0,9,1,1,0,90599506
Ratnapura,Apartment,1,1,1,24.1,418.0,4,1,0,0,9406093
Kandy,Land & House,3,3,2,23.9,1311.0,2,0,0,0,67095760
Ratnapura,Apartment,4,3,3,67.2,1995.0,13,0,0,0,28279846
Anuradhapura,House,3,2,2,9.2,1336.0,19,1,0,0,20206987
Colombo,Villa,4,4,1,19.5,1550.0,5,1,0,0,249714979
Colombo,House,4,3,1,33.0,1600.0,20,0,0,0,181464129
Colombo,House,3,3,1,17.0,1250.0,3,1,0,0,157187158
Colombo,House,5,4,1,27.4,1808.0,6,1,0,1,220300685
Colombo,House,3,2,2,12.0,1343.0,20,0,0,1,94722059
Jaffna,Villa,3,2,1,17.4,1203.0,16,0,0,0,41383803
Colombo,Apartment,6,6,1,4.9,2277.0,5,0,0,0,137034002
Kandy,Villa,3,2,2,67.8,1378.0,2,0,0,0,113577483
Kurunegala,Apartment,2,1,2,28.1,1258.0,0,1,0,0,22665866
Colombo,House,3,2,2,34.5,1232.0,25,0,0,1,155935626
Kurunegala,Villa,4,3,1,21.8,1648.0,1,1,0,1,65467588
Kandy,House,4,4,2,7.1,1818.0,2,1,0,0,74499533
Colombo,House,4,3,2,4.5,1749.0,4,1,1,0,144615155
Jaffna,Apartment,4,4,1,34.0,1484.0,9,0,0,0,31399806
Negombo,House,3,3,1,11.6,1366.0,22,0,0,0,52637310
Anuradhapura,House,5,4,1,8.6,1680.0,4,1,1,0,32736106
Matara,Apartment,5,4,2,16.4,1981.0,12,1,0,0,33942302
Kurunegala,Apartment,2,1,1,12.2,967.0,1,0,0,0,14762448
Kandy,House,2,2,3,19.8,1112.0,9,0,0,0,43843304
Colombo,Land & House,6,6,2,13.9,2559.0,3,0,1,1,347950246
Matara,Apartment,5,4,3,21.9,2048.0,4,1,1,0,43028924
